סמל צורת יישוב,סמל יישוב,שם יישוב,נכנסים,יוצאים,מאזן הגירה פנימית
280,472,אבו גוש,156,84,72
270,473,אבו סנאן,129,153,-24
450,1342,אבו קורינאת (יישוב),103,0,103
450,1375,אבו תלול,136,1,135
290,652,אבטין,28,56,-28
370,1275,אבטליון,52,16,36
310,679,אביאל,25,62,-37
310,1115,אביבים,13,27,-14
310,819,אביגדור,34,28,6
310,175,אביחיל,74,85,-11
310,2052,אביטל,8,24,-16
310,1070,אביעזר,33,18,15
370,1220,אבירים,16,15,1
170,182,אבן יהודה,557,486,71
310,1081,אבן מנחם,7,4,3
310,783,אבן ספיר,24,37,-13
350,400,אבן שמואל,183,38,145
310,4011,אבני איתן,27,33,-6
370,3793,אבני חפץ,90,69,21
370,3786,אבנת,7,5,2
370,1311,אבשלום,3,8,-5
370,3759,אדורה,14,13,1
310,113,אדירים,19,24,-5
310,1123,אדרת,28,35,-7
310,446,אודים,55,63,-8
320,4010,אודם,3,3,0
310,1046,אוהד,6,16,-10
250,2710,אום אל-פחם,154,286,-132
450,2024,אום אל-קוטוף,7,15,-8
290,1358,אום בטין,50,4,46
350,1108,אומן,35,6,29
310,680,אומץ,34,38,-4
160,31,אופקים,1295,873,422
320,1294,אור הגנוז,22,7,15
330,67,אור הנר,25,24,1
160,2400,אור יהודה,801,1229,-428
170,1020,אור עקיבא,498,588,-90
310,780,אורה,51,111,-60
310,2012,אורות,44,30,14
330,4013,אורטל,13,9,4
330,403,אורים,31,31,0
180,3760,אורנית,356,444,-88
330,278,אושה,8,13,-5
170,565,אזור,520,607,-87
350,1157,אחווה,10,6,4
310,821,אחוזם,13,20,-7
190,1330,אחוזת ברק,149,99,50
310,785,אחיהוד,35,35,0
310,850,אחיטוב,49,23,26
310,804,אחיסמך,42,59,-17
310,797,אחיעזר,42,46,-4
340,338,איבים,13,59,-46
330,716,אייל,17,3,14
330,77,איילת השחר,47,98,-51
330,294,אילון,48,29,19
330,1126,אילות,15,21,-6
310,49,אילנייה,32,19,13
150,2600,אילת,2886,3359,-473
370,1336,אירוס,113,6,107
370,3762,איתמר,61,50,11
310,37,איתן,15,15,0
270,478,אכסאל,57,59,-2
450,1339,אל -עזי,37,17,20
450,1316,אל -עריאן,0,4,-4
