שם רשות מקומית,שנה,"שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",אחוז השכירים המשתכרים עד שכר מינימום,אחוז העצמאים המשתכרים עד מחצית השכר הממוצע,"מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא)"
באר שבע,2017,"8,931.70",38.4,43,0.4
באר שבע,2016,"8,347",40.7,44.6,0.4
באר שבע,2015,"8,291",38.7,44.1,0.4
בועיינה-נוג'ידאת,2019,"6,057.10",58.8,45.5,0.4
בועיינה-נוג'ידאת,2018,"6,087.50",57.7,46.2,0.4
בועיינה-נוג'ידאת,2017,"5,903.80",56.3,44.3,0.4
בועיינה-נוג'ידאת,2016,"5,453.70",58.8,49.7,0.4
בועיינה-נוג'ידאת,2015,"5,364.60",56.2,50.8,0.4
בוקעאתא,2019,"5,807.60",61.8,45.5,0.4
בוקעאתא,2018,"5,680.20",63.6,55.4,0.4
בוקעאתא,2017,"5,690.20",60.9,48.6,0.4
בוקעאתא,2016,"5,304.50",61.5,52.4,0.4
בוקעאתא,2015,"5,017.70",62,55.8,0.4
ביר אל-מכסור,2019,"6,455.20",52.9,44.6,0.4
ביר אל-מכסור,2018,"6,529.70",51.1,42.3,0.4
ביר אל-מכסור,2017,"6,143.40",52,44.4,0.4
ביר אל-מכסור,2016,"5,733.20",53.4,44.8,0.3
ביר אל-מכסור,2015,"5,625.30",51.6,41.9,0.3
בית אל,2019,"7,988.30",48.2,51.4,0.4
בית אל,2018,"7,528.20",49.6,51.9,0.5
בית אל,2017,"7,561.20",47.4,49,0.5
בית אל,2016,"7,066.70",48.8,54.1,0.4
בית אל,2015,"7,119.40",47.5,42.1,0.4
בית אריה-עופרים,2019,"11,357.40",31.7,29.7,0.4
בית אריה-עופרים,2018,"11,488.30",29,33.2,0.4
בית אריה-עופרים,2017,"11,185.40",28.2,29,0.4
בית אריה-עופרים,2016,"10,631.40",28.8,29.4,0.4
בית אריה-עופרים,2015,"10,664.20",26.1,36.3,0.4
בית ג'ן,2019,"7,593.10",52,59.3,0.4
בית ג'ן,2018,"7,536.80",52,58.9,0.4
