סמל צורת יישוב,סמל יישוב,שם יישוב,נכנסים,יוצאים,מאזן הגירה פנימית
330,1162,בית רימון,104,17,87
170,9200,בית שאן,606,418,188
140,2610,בית שמש,3518,2963,555
310,248,בית שערים,28,36,-8
310,747,בית שקמה,28,42,-14
310,252,ביתן אהרן,42,15,27
150,3780,ביתר עילית,1449,1610,-161
310,94,בלפוריה,56,42,14
310,760,בן זכאי,59,38,21
310,712,בן עמי,45,52,-7
340,1084,בן שמן (כפר נוער),17,13,4
310,2013,בן שמן (מושב),45,51,-6
140,6100,בני ברק,3412,6523,-3111
370,1368,בני דקלים,129,15,114
320,592,בני דרום,68,17,51
320,386,בני דרור,55,54,1
370,4015,בני יהודה,54,54,0
310,1363,בני נצרים,44,36,8
310,448,בני עטרות,35,38,-3
180,1066,"בני עי""ש",195,286,-91
310,418,בני ציון,26,93,-67
310,588,בני ראם,48,68,-20
310,685,בניה,26,35,-9
170,9800,בנימינה-גבעת עדה*,579,595,-16
280,1326,"בסמ""ה",93,78,15
280,944,בסמת טבעון,79,111,-32
280,483,בענה,106,107,-1
310,389,בצרה,55,41,14
310,589,בצת,26,13,13
310,864,בקוע,21,20,1
310,3612,בקעות,0,13,-13
310,823,בר גיורא,18,39,-21
370,1191,בר יוחאי,88,63,25
370,3744,ברוכין,135,13,122
330,428,ברור חיל,48,32,16
310,2060,ברוש,54,12,42
190,3710,ברכה,166,102,64
310,746,ברכיה,66,36,30
330,667,ברעם,4,10,-6
310,141,ברק,23,33,-10
330,617,ברקאי,8,21,-13
370,3654,ברקן,74,92,-18
191,2038,ברקת,90,62,28
350,1323,בת הדר,32,41,-9
350,1361,בת חן,27,35,-8
180,1319,בת חפר,101,205,-104
140,6200,בת ים,4003,6172,-2169
370,3794,בת עין,81,96,-15
310,33,בת שלמה,32,35,-3
260,1292,ג'דיידה-מכר,232,225,7
280,485,ג'ולס,45,37,8
280,627,ג'לג'וליה,58,122,-64
270,541,ג'סר א-זרקא,58,148,-90
290,487,ג'ש (גוש חלב),37,45,-8
270,628,ג'ת,152,107,45
310,872,גאולי תימן,7,9,-2
310,379,גאולים,54,44,10
310,853,גאליה,37,48,-11
330,352,גבולות,16,24,-8
330,424,גבים,40,23,17
330,86,גבע,10,25,-15
180,3763,גבע בנימין,253,266,-13
310,683,גבע כרמל,47,74,-27
310,2014,גבעולים,41,6,35
370,3644,גבעון החדשה,36,119,-83
370,1344,גבעות בר,138,28,110
370,1293,גבעת אבני,66,95,-29
370,1288,גבעת אלה,61,65,-4
193,147,גבעת ברנר,42,41,1
330,870,גבעת השלושה,42,18,24
170,3730,גבעת זאב,1137,1003,134
310,207,"גבעת ח""ן",17,11,6
330,2018,גבעת חיים (איחוד),57,25,32
330,173,גבעת חיים (מאוחד),24,21,3
310,4021,גבעת יואב,20,16,4
310,787,גבעת יערים,49,54,-5
310,919,גבעת ישעיהו,25,52,-27
310,802,"גבעת כ""ח",40,41,-1
310,360,"גבעת ניל""י",14,56,-42
330,703,גבעת עוז,4,16,-12
160,681,גבעת שמואל,1212,1339,-127
340,566,גבעת שמש,1,1,0
310,1077,גבעת שפירא,9,22,-13
310,793,גבעתי,29,24,5
150,6300,גבעתיים,4070,4033,37
330,342,גברעם,13,8,5
330,133,גבת,31,22,9
330,35,גדות,25,10,15
310,145,גדיש,8,10,-2
350,442,גדעונה,24,15,9
160,2550,גדרה,895,797,98
330,852,גונן,29,24,5
310,755,גורן,20,15,5
350,1219,גורנות הגליל,11,8,3
330,457,גזית,43,13,30
330,370,גזר,22,8,14
310,706,גיאה,27,34,-7
350,196,גיבתון,29,17,12
350,1043,גיזו,10,14,-4
370,1204,גילון,35,48,-13
310,736,גילת,66,61,5
330,262,גינוסר,29,20,9
330,92,גיניגר,23,29,-6
310,863,גינתון,37,63,-26
370,1206,גיתה,6,9,-3
310,3613,גיתית,42,10,32
330,393,גלאון,67,15,52
330,3606,גלגל,6,13,-7
330,346,גליל ים,6,8,-2
330,369,גלעד (אבן יצחק),8,6,2
310,745,גמזו,40,46,-6
310,1072,גן הדרום,28,16,12
310,225,גן השומרון,34,21,13
310,239,גן חיים,52,42,10
310,734,גן יאשיה,31,20,11
160,166,גן יבנה,778,737,41
190,1274,גן נר,81,105,-24
310,311,גן שורק,14,27,-13
330,144,גן שלמה,12,5,7
330,72,גן שמואל,10,17,-7
310,836,גנות,8,41,-33
350,549,גנות הדר,39,38,1
350,1103,גני הדר,26,8,18
370,1371,גני טל,34,42,-8
310,862,גני יוחנן,52,48,4
190,3823,גני מודיעין,288,287,1
350,218,גני עם,12,17,-5
170,229,גני תקווה,1236,613,623
330,842,געש,44,18,26
330,463,געתון,66,8,58
310,39,גפן,7,30,-23
330,1129,גרופית,15,21,-6
330,4022,גשור,12,8,4
330,305,גשר,24,30,-6
330,574,גשר הזיו,49,75,-26
350,128,גת רימון,16,4,12
270,494,דאלית אל-כרמל,178,168,10
310,146,דבורה,34,14,20
270,489,דבורייה,150,78,72
330,849,דבירה,95,25,70
330,407,דברת,31,24,7
330,62,דגניה א',9,19,-10
330,79,דגניה ב',16,13,3
310,1067,"דוב""ב",16,16,0
370,3747,דולב,61,102,-41
310,738,דור,32,23,9
330,336,דורות,32,31,1
450,475,דחי,21,4,17
270,490,דייר אל-אסד,110,115,-5
270,492,דייר חנא,104,80,24
440,493,דייר ראפאת,3,0,3
160,2200,דימונה,976,826,150
310,2063,דישון,4,16,-12
330,300,דלייה,19,24,-5
310,431,דלתון,23,21,2
450,1317,דמיידה,10,1,9
330,303,דן,30,31,-1
330,302,דפנה,24,44,-20
310,1241,דקל,13,14,-1
450,1349,דריג'את,43,23,20
330,702,האון,2,6,-4
320,675,הבונים,13,21,-8
330,356,הגושרים,45,44,1
310,191,הדר עם,45,28,17
150,9700,הוד השרון,2726,2105,621
340,1322,הודיות,0,4,-4
310,726,הודייה,61,25,36
190,1186,הושעיה,66,78,-12
330,250,הזורע,20,18,2
310,307,הזורעים,45,48,-3
330,434,החותרים,28,20,8
310,684,היוגב,36,15,21
370,1208,הילה,24,14,10
330,377,המעפיל,29,16,13
330,677,הסוללים,25,51,-26
330,423,העוגן,19,12,7
190,3769,הר אדר,146,179,-33
370,3603,הר גילה,61,74,-13
330,1261,הר עמשא,18,7,11
330,464,הראל,9,12,-3
330,1249,הרדוף,15,21,-6
150,6400,הרצלייה,3832,3833,-1
370,1203,הררית,59,14,45
310,3639,ורד יריחו,35,17,18
350,1133,ורדון,12,22,-10
310,815,זבדיאל,26,22,4
310,44,זוהר,9,17,-8
330,584,זיקים,86,23,63
310,788,זיתן,42,59,-17
