סמל צורת יישוב,סמל יישוב,שם יישוב,נכנסים,יוצאים,מאזן הגירה פנימית
280,472,אבו גוש,79,72,7
270,473,אבו סנאן,158,192,-34
450,1342,אבו קורינאת (יישוב),36,2,34
290,1375,אבו תלול,118,1,117
290,652,אבטין,34,36,-2
370,1275,אבטליון,20,22,-2
310,679,אביאל,43,44,-1
310,1115,אביבים,5,15,-10
310,819,אביגדור,44,47,-3
310,175,אביחיל,67,68,-1
310,2052,אביטל,17,31,-14
310,1070,אביעזר,49,51,-2
370,1220,אבירים,42,15,27
170,182,אבן יהודה,512,526,-14
310,1081,אבן מנחם,13,16,-3
310,783,אבן ספיר,13,39,-26
350,400,אבן שמואל,136,45,91
310,4011,אבני איתן,36,52,-16
370,3793,אבני חפץ,90,102,-12
370,3786,אבנת,54,6,48
370,1311,אבשלום,19,2,17
370,3759,אדורה,12,5,7
310,113,אדירים,7,14,-7
330,1068,אדמית,11,5,6
310,1123,אדרת,66,37,29
310,446,אודים,64,77,-13
320,4010,אודם,16,1,15
310,1046,אוהד,6,5,1
250,2710,אום אל-פחם,218,277,-59
450,2024,אום אל-קוטוף,9,11,-2
290,1358,אום בטין,30,12,18
350,1108,אומן,46,29,17
310,680,אומץ,42,34,8
160,31,אופקים,1789,932,857
320,1294,אור הגנוז,24,8,16
330,67,אור הנר,30,27,3
160,2400,אור יהודה,683,1267,-584
170,1020,אור עקיבא,941,610,331
310,780,אורה,84,119,-35
310,2012,אורות,25,35,-10
330,4013,אורטל,11,20,-9
330,403,אורים,27,30,-3
180,3760,אורנית,407,374,33
330,278,אושה,41,12,29
170,565,אזור,627,662,-35
350,1157,אחווה,7,10,-3
310,821,אחוזם,20,20,0
190,1330,אחוזת ברק,103,109,-6
310,785,אחיהוד,39,37,2
310,850,אחיטוב,30,45,-15
310,804,אחיסמך,38,54,-16
310,797,אחיעזר,75,59,16
340,338,איבים,10,38,-28
330,716,אייל,8,6,2
330,77,איילת השחר,32,35,-3
330,294,אילון,40,38,2
330,1126,אילות,15,20,-5
310,49,אילנייה,15,19,-4
150,2600,אילת,2669,3614,-945
370,1336,אירוס,87,14,73
370,3762,איתמר,43,55,-12
310,37,איתן,17,18,-1
270,478,אכסאל,87,105,-18
450,1339,אל -עזי,4,1,3
450,1316,אל -עריאן,0,5,-5
330,4003,אל -רום,15,13,2
280,1359,אל סייד,73,7,66
350,1145,אלומה,42,34,8
330,330,אלומות,11,22,-11
310,1182,אלון הגליל,40,43,-3
370,3579,אלון מורה,68,166,-98
190,3604,אלון שבות,93,246,-153
320,429,אלוני אבא,22,19,3
320,4017,אלוני הבשן,21,22,-1
340,868,אלוני יצחק,7,16,-9
330,285,אלונים,14,10,4
310,4002,אלי-עד,20,6,14
370,1365,אליאב,116,6,110
190,41,אליכין,116,227,-111
330,1248,אליפז,17,26,-9
310,730,אליפלט,46,35,11
310,682,אליקים,43,39,4
310,204,אלישיב,31,60,-29
310,841,אלישמע,62,76,-14
310,1125,אלמגור,29,7,22
330,3556,אלמוג,13,19,-6
160,1309,אלעד,1009,1566,-557
190,3618,אלעזר,113,188,-75
180,3750,אלפי מנשה,363,368,-5
310,603,אלקוש,19,38,-19
