סמל צורת יישוב,סמל יישוב,שם יישוב,נכנסים,יוצאים,מאזן הגירה פנימית
280,472,אבו גוש,104,51,53
270,473,אבו סנאן,127,163,-36
450,1342,אבו קורינאת (יישוב),56,0,56
450,1375,אבו תלול,61,6,55
290,652,אבטין,22,49,-27
370,1275,אבטליון,17,15,2
310,679,אביאל,67,36,31
310,1115,אביבים,7,12,-5
310,819,אביגדור,44,51,-7
310,175,אביחיל,58,76,-18
310,2052,אביטל,18,15,3
310,1070,אביעזר,41,17,24
370,1220,אבירים,17,4,13
170,182,אבן יהודה,620,509,111
310,1081,אבן מנחם,5,23,-18
310,783,אבן ספיר,43,46,-3
350,400,אבן שמואל,79,18,61
310,4011,אבני איתן,45,33,12
370,3793,אבני חפץ,61,57,4
370,3786,אבנת,21,9,12
370,1311,אבשלום,14,1,13
370,3759,אדורה,46,20,26
310,113,אדירים,17,14,3
310,1123,אדרת,35,36,-1
310,446,אודים,96,89,7
320,4010,אודם,10,5,5
310,1046,אוהד,12,8,4
250,2710,אום אל-פחם,244,232,12
450,2024,אום אל-קוטוף,8,18,-10
290,1358,אום בטין,46,6,40
350,1108,אומן,28,32,-4
310,680,אומץ,27,12,15
160,31,אופקים,715,928,-213
320,1294,אור הגנוז,39,25,14
330,67,אור הנר,36,24,12
160,2400,אור יהודה,911,1262,-351
170,1020,אור עקיבא,499,451,48
310,780,אורה,80,83,-3
310,2012,אורות,11,20,-9
330,4013,אורטל,22,9,13
330,403,אורים,12,22,-10
340,882,אורנים,0,2,-2
180,3760,אורנית,547,284,263
330,278,אושה,17,5,12
170,565,אזור,637,551,86
350,1157,אחווה,9,5,4
310,821,אחוזם,16,21,-5
190,1330,אחוזת ברק,84,108,-24
310,785,אחיהוד,36,24,12
310,850,אחיטוב,38,34,4
310,804,אחיסמך,32,46,-14
310,797,אחיעזר,48,72,-24
340,338,איבים,2,308,-306
330,716,אייל,4,9,-5
330,77,איילת השחר,29,241,-212
330,294,אילון,58,34,24
330,1126,אילות,32,49,-17
310,49,אילנייה,16,18,-2
160,2600,אילת,3255,3463,-208
370,1336,אירוס,111,3,108
370,3762,איתמר,67,89,-22
310,37,איתן,16,9,7
270,478,אכסאל,88,82,6
450,1339,אל -עזי,45,28,17
450,1316,אל -עריאן,3,3,0
330,4003,אל -רום,25,8,17
290,1359,אל סייד,16,2,14
350,1145,אלומה,15,32,-17
330,330,אלומות,36,4,32
310,1182,אלון הגליל,61,29,32
370,3579,אלון מורה,72,113,-41
190,3604,אלון שבות,183,193,-10
320,429,אלוני אבא,23,18,5
320,4017,אלוני הבשן,19,14,5
340,868,אלוני יצחק,3,31,-28
330,285,אלונים,10,13,-3
310,4002,אלי-עד,33,22,11
370,1365,אליאב,51,6,45
190,41,אליכין,106,131,-25
330,1248,אליפז,8,10,-2
310,730,אליפלט,33,17,16
310,682,אליקים,42,33,9
310,204,אלישיב,17,26,-9
310,841,אלישמע,61,67,-6
310,1125,אלמגור,23,9,14
330,3556,אלמוג,27,7,20
160,1309,אלעד,1108,1370,-262
190,3618,אלעזר,127,136,-9
180,3750,אלפי מנשה,264,343,-79
310,603,אלקוש,17,19,-2
190,3560,אלקנה,223,250,-27
310,772,אמונים,24,41,-17
310,1064,אמירים,96,58,38
310,1253,אמנון,22,14,8
320,23,אמציה,37,19,18
310,4012,אניעם,5,31,-26
370,3754,אספר,26,12,14
270,529,אעבלין,70,106,-36
330,4301,אפיק,32,15,17
330,176,אפיקים,37,27,10
330,313,אפק,30,7,23
180,3650,אפרת,325,457,-132
310,701,ארבל,38,15,23
